#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 18:28:38       0      4      0      0      0      0      0 
 18:28:39       0      4      0      0      0      0      0 
 18:28:40       0      3      0      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 18:28:41       0      4      0      0      0      0      0 
 18:28:42       0      4      0      0      0      0      0 
 18:28:43       0      3      0      0      0      0      0 
 18:28:44       0      2      0      0      0      0      0 
 18:28:45       0      3      0      0      0      0      0 
 18:28:46       0      4      0      0      0      0      0 
 18:28:47       0      4      0      0      0      0      0 
 18:28:48       0     25      2      0      0      0      0 
 18:28:49       0     24      2      0      0      0      0 
 18:28:50       0      3      0      0      0      0      0 
 18:28:51       0      3      0      0      0      0      0 
 18:28:52       0      2      0      0      0      0      0 
 18:28:53       0      4      0      0      0      0      0 
 18:28:54       0      4      0      0      0      0      0 
 18:28:55       0      0      0      0      0      0      0 
 18:28:56       0      3      0      0      0      0      0 
 18:28:57       0      3      0      0      0      0      0 
 18:28:58       0      4      0      0      0      0      0 
 18:28:59       0      5      0      0      0      0      0 
 18:29:00       0      4      0      0      0      0      0 
 18:29:01       0      3      0      0      0      0      0 
 18:29:02       0      4      0      0      0      0      0 
 18:29:03       0      3      0      0      0      0      0 
 18:29:04       0      4      0      0      0      0      0 
 18:29:05       0      0      0      0      0      0      0 
 18:29:06       0      4      0      0      0      0      0 
 18:29:07       0     25      2      0      0      0      0 
 18:29:08       0     25      2      0      0      0      0 
 18:29:09       0     25      2      0      0      0      0 
 18:29:10       0      3      0      0      0      0      0 
 18:29:11       0      2      0      0      0      0      0 
 18:29:12       0      3      0      0      0      0      0 
 18:29:13       0      3      0      0      0      0      0 
 18:29:14       0      3      0      0      0      0      0 
 18:29:15       0      3      0      0      0      0      0 
 18:29:16       0      3      0      0      0      0      0 
 18:29:17       0      3      0      0      0      0      0 
 18:29:18       0      4      0      0      0      0      0 
 18:29:19       0      4      0      0      0      0      0 
 18:29:20       0      4      0      0      0      0      0 
 18:29:21       0      2      0      0      0      0      0 
 18:29:22       0      3      0      0      0      0      0 
 18:29:23       0      3      0      0      0      0      0 
 18:29:24       0      4      0      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 18:29:26       0      3      0      0      0      0      0 
 18:29:27       0     25      2      0      0      0      0 
 18:29:28       0     25      2      0      0      0      0 
 18:29:29       0      3      0      0      0      0      0 
 18:29:30       0      3      0      0      0      0      0 
 18:29:31       0      3      0      0      0      0      0 
 18:29:32       0      2      0      0      0      0      0 
 18:29:33       0      2      0      0      0      0      0 
 18:29:34       0      4      0      0      0      0      0 
 18:29:35       0      0      0      0      0      0      0 
 18:29:36       0      3      0      0      0      0      0 
 18:29:37       0      3      0      0      0      0      0 
 18:29:38       0      3      0      0      0      0      0 
 18:29:39       0      3      0      0      0      0      0 
 18:29:40       0      3      0      0      0      0      0 
 18:29:41       0      3      0      0      0      0      0 
 18:29:42       0      4      0      0      0      0      0 
 18:29:43       0      4      0      0      0      0      0 
 18:29:44       0      3      0      0      0      0      0 
 18:29:45       0     26      2      0      0      0      0 
 18:29:46       0     24      2      0      0      0      0 
 18:29:47       0      3      0      0      0      0      0 
 18:29:48       0      4      0      0      0      0      0 
 18:29:49       0      4      0      0      0      0      0 
 18:29:50       0      4      0      0      0      0      0 
 18:29:51       0      3      0      0      0      0      0 
 18:29:52       0      2      0      0      0      0      0 
 18:29:53       0      3      0      0      0      0      0 
 18:29:54       0      3      0      0      0      0      0 
 18:29:55       0      3      0      0      0      0      0 
 18:29:56       0      3      0      0      0      0      0 
 18:29:57       0      3      0      0      0      0      0 
 18:29:58       0      4      0      0      0      0      0 
 18:29:59       0      3      0      0      0      0      0 
 18:30:00       0      3      0      0      0      0      0 
 18:30:01       0      3      0      0      0      0      0 
 18:30:02       0      3      0      0      0      0      0 
 18:30:03       0     25      2      0      0      0      0 
 18:30:04       0     25      2      0      0      0      0 
 18:30:05       0     24      2      0      0      0      0 
 18:30:06       0      3      0      0      0      0      0 
 18:30:07       0      4      0      0      0      0      0 
 18:30:08       0      3      0      0      0      0      0 
 18:30:09       0      3      0      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 18:30:10       0      3      0      0      0      0      0 
 18:30:11       0      4      0      0      0      0      0 
 18:30:12       0      3      0      0      0      0      0 
 18:30:13       0      4      0      0      0      0      0 
 18:30:14       0      4      0      0      0      0      0 
 18:30:15       0      2      0      0      0      0      0 
 18:30:16       0      3      0      0      0      0      0 
 18:30:17       0      3      0      0      0      0      0 
 18:30:18       0      3      0      0      0      0      0 
 18:30:19       0      3      0      0      0      0      0 
 18:30:20       0      3      0      0      0      0      0 
 18:30:21       0      4      0      0      0      0      0 
 18:30:22       0      4      0      0      0      0      0 
 18:30:23       0     24      2      0      0      0      0 
 18:30:24       0     25      2      0      0      0      0 
 18:30:25       0      4      0      0      0      0      0 
 18:30:26       0      3      0      0      0      0      0 
 18:30:27       0      3      0      0      0      0      0 
 18:30:28       0      4      0      0      0      0      0 
 18:30:29       0      4      0      0      0      0      0 
 18:30:30       0      3      0      0      0      0      0 
 18:30:31       0      0      0      0      0      0      0 
 18:30:32       0      3      0      0      0      0      0 
 18:30:33       0      2      0      0      0      0      0 
 18:30:34       0      3      0      0      0      0      0 
 18:30:35       0      3      0      0      0      0      0 
 18:30:36       0      3      0      0      0      0      0 
 18:30:37       0      3      0      0      0      0      0 
 18:30:38       0      3      0      0      0      0      0 
 18:30:39       0      3      0      0      0      0      0 
 18:30:40       0      0      0      0      0      0      0 
 18:30:41       0      2      0      0      0      0      0 
 18:30:42       0      3      0      0      0      0      0 
 18:30:43       0      3      0      0      0      0      0 
 18:30:44       0     25      2      0      0      0      0 
 18:30:45       0     25      2      0      0      0      0 
